Data do Jogo,Adversário,V ou D,Casa/Fora,PTS,REB,AST,Tentativas de Cestas de 3 PTS,Cestas de 3 PTS Marcados,Tempo de Permanência do Jogador em Quadra
"JAN 22, 2025",PHX,D,Casa,7,5,0,7,2,34
"JAN 21, 2025",NYK,D,Casa,10,6,1,5,2,26
"JAN 19, 2025",OKC,D,Fora,9,4,0,8,2,28
"JAN 17, 2025",LAL,D,Fora,11,5,1,7,3,31
"JAN 15, 2025",LAC,D,Fora,4,2,0,4,0,22
"JAN 14, 2025",POR,V,Fora,20,5,2,7,4,29
"JAN 12, 2025",UTA,D,Fora,0,5,1,7,0,32
"JAN 10, 2025",DEN,D,Fora,14,5,2,5,1,30
"JAN 08, 2025",DET,D,Casa,29,6,3,11,5,37
"JAN 06, 2025",IND,D,Casa,14,4,1,10,3,29
"JAN 04, 2025",PHI,D,Casa,3,6,2,3,1,19
"JAN 01, 2025",TOR,D,Fora,5,3,0,4,1,28
"DEC 29, 2024",ORL,D,Fora,13,2,0,5,3,28
"DEC 27, 2024",SAS,D,Casa,5,5,1,4,1,24
"DEC 26, 2024",MIL,V,Fora,20,4,2,9,6,31
"DEC 23, 2024",MIA,D,Fora,19,5,1,10,4,29
"DEC 21, 2024",UTA,D,Casa,10,6,1,6,2,29
"DEC 19, 2024",TOR,V,Fora,11,9,1,8,2,37
"DEC 16, 2024",CLE,D,Casa,2,2,1,2,0,17
"DEC 13, 2024",MEM,D,Fora,12,4,0,10,4,18
"NOV 24, 2024",SAC,V,Fora,18,2,0,8,5,22
"NOV 22, 2024",PHI,D,Fora,2,4,0,1,0,19
"NOV 19, 2024",CHA,V,Casa,5,3,0,4,1,14
"NOV 17, 2024",NYK,D,Fora,13,2,1,4,2,17
"NOV 15, 2024",NYK,D,Fora,5,1,2,3,1,13
"NOV 13, 2024",BOS,D,Casa,9,2,2,5,2,18
"NOV 11, 2024",NOP,V,Fora,15,7,1,10,5,20
"NOV 09, 2024",CLE,D,Fora,2,3,1,2,0,14
"NOV 03, 2024",DET,D,Casa,4,2,1,2,1,17
"NOV 01, 2024",CHI,V,Casa,7,4,1,2,0,15
"OCT 30, 2024",MEM,V,Fora,5,2,0,5,1,14
"OCT 29, 2024",DEN,D,Casa,0,3,1,0,0,16
"OCT 27, 2024",MIL,V,Casa,13,4,0,8,3,21
"OCT 25, 2024",ORL,D,Fora,7,2,0,4,1,16
"OCT 23, 2024",ATL,D,Fora,7,6,0,3,1,15
